input,match,property_id,latitude,longitude,search_url,image_url,home_value,home_type,year_built,lot_size,price,beds,baths,sqft
1132 HOME AVE,1132 Home Ave,13248573,41.867481,-87.798763,/IL/Oak-Park/1132-Home-Ave-60304/home/13248573,['https://ssl.cdn-redfin.com/photo/68/mbphoto/595/genMid.09677595_2.jpg'],410000.0,Single-family,1912,4565.0,410000.0,4.0,2.0,1570.0
1143 LYMANAVE,,-1,,,,,,,,,,,,
1009 S CUYLER,1009 S Cuyler Ave,13250543,41.8704357,-87.7831801,/IL/Oak-Park/1009-S-Cuyler-Ave-60304/home/13250543,['https://ssl.cdn-redfin.com/photo/68/mbphoto/082/genMid.07369082_4.jpg'],225000.0,Single-family,1911,3780.0,225000.0,3.0,1.0,
1135 HIGHLAND AVE,1135 Highland Ave,13251540,41.8677399,-87.7818579,/IL/Oak-Park/1135-Highland-Ave-60304/home/13251540,['https://ssl.cdn-redfin.com/photo/68/mbphoto/631/genMid.08696631_2.jpg'],265000.0,Single-family,1913,4725.0,265000.0,3.0,2.0,1230.0
1174 S TAYLOR AV,1174 S Taylor Ave,13251087,41.8662732,-87.7775785,/IL/Oak-Park/1174-S-Taylor-Ave-60304/home/13251087,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1174+S+Taylor+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=xdc0Z_04OST2YWk_CM6-q2jfRyo='],48000.0,Single-family,1915,3150.0,,3.0,1.5,876.0
838 WESLEY AVE #2,838 Wesley Ave #2,12650974,41.8727655,-87.7913588,/IL/Oak-Park/838-Wesley-Ave-60304/unit-2/home/12650974,['https://ssl.cdn-redfin.com/photo/68/mbphoto/093/genMid.06408093_2.jpg'],177500.0,,,,,,,
1047 S ELMWOOD AV,1047 S Elmwood Ave,13246916,41.8690764,-87.7856219,/IL/Oak-Park/1047-S-Elmwood-Ave-60304/home/13246916,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1047+S+Elmwood+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=fZ9Ha2-VcL1EEYKStvngM0Gr82k='],125000.0,Single-family,1926,3175.0,,4.0,2.0,2202.0
641 CLARENCE AVE,641 Clarence Ave,13249105,41.8764997,-87.7907746,/IL/Oak-Park/641-Clarence-Ave-60304/home/13249105,['https://ssl.cdn-redfin.com/photo/68/mbphoto/297/genMid.10656297_0.jpg'],425000.0,Single-family,1922,4158.0,425000.0,4.0,2.0,1800.0
1137 CLARENCE AVE,1137 Clarence Ave,13248556,41.8674674,-87.7904552,/IL/Oak-Park/1137-Clarence-Ave-60304/home/13248556,['https://ssl.cdn-redfin.com/photo/68/mbphoto/354/genMid.11788354_0.jpg'],440000.0,Single-family,1918,4410.0,440000.0,5.0,2.0,1796.0
624 S GROVE AV,624 S Grove Ave,13249648,41.8769786,-87.7950655,/IL/Oak-Park/624-S-Grove-Ave-60304/home/13249648,['https://ssl.cdn-redfin.com/photo/68/mbphoto/880/genMid.10887880_0.jpg'],438000.0,Single-family,1911,6250.0,438000.0,4.0,2.5,1776.0
1020 S WESLEY AV,1020 Wesley Ave,13248149,41.869897,-87.7911796,/IL/Oak-Park/1020-Wesley-Ave-60304/home/13248149,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1020+Wesley+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=mennUpwDN_dBo5AtQGzQK8zLiP0='],210000.0,Multi-family (2-4 unit),1915,4725.0,,4.0,2.0,2428.0
1041 S CUYLER AVE,1041 S Cuyler Ave,13251223,41.8693743,-87.7831582,/IL/Oak-Park/1041-S-Cuyler-Ave-60304/home/13251223,['https://ssl.cdn-redfin.com/photo/68/mbphoto/869/genMid.10462869_1.jpg'],295000.0,Single-family,1913,3780.0,295000.0,2.0,1.0,
530 S CLINTON AV,530 Clinton Ave,13249660,41.8785514,-87.7984701,/IL/Oak-Park/530-Clinton-Ave-60304/home/13249660,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=530+Clinton+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=tjFKJiV3GT_GPJzdZqxRtKDMmB8='],429000.0,Single-family,1909,6000.0,,4.0,2.0,2160.0
600 S KENILWORTH AVE,600 S Kenilworth Ave,13248960,41.8781714,-87.7970302,/IL/Oak-Park/600-S-Kenilworth-Ave-60304/home/13248960,['https://ssl.cdn-redfin.com/photo/68/mbphoto/786/genMid.08603786_3.jpg'],500000.0,Single-family,1914,7500.0,500000.0,4.0,2.5,1900.0
