input,match,property_id,latitude,longitude,search_url,image_url
836 S HUMPHREY,836 S Humphrey Ave,13250620,41.8732257,-87.7753706,/IL/Oak-Park/836-S-Humphrey-Ave-60304/home/13250620,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=836+S+Humphrey+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=NDraFzjGRFQSPaIVglKEvbP_bN8=']
1156 LYMAN AVE,1156 Lyman Ave,13251370,41.866899,-87.776392,/IL/Oak-Park/1156-Lyman-Ave-60304/home/13251370,['https://ssl.cdn-redfin.com/photo/68/mbphoto/293/genMid.09038293_2.jpg']
1104 WESLEY AVE,1104 Wesley Ave,13247626,41.8686249,-87.7911383,/IL/Oak-Park/1104-Wesley-Ave-60304/home/13247626,['https://ssl.cdn-redfin.com/photo/68/mbphoto/769/genMid.07300769_3.jpg']
726 LYMAN AVE,726 Lyman Ave,13250929,41.8753903,-87.7766467,/IL/Oak-Park/726-Lyman-Ave-60304/home/13250929,['https://ssl.cdn-redfin.com/photo/68/mbphoto/164/genMid.11296164_0.jpg']
855 CARPENTER AVE,855 Carpenter Ave,13249245,41.8734721,-87.796218,/IL/Oak-Park/855-Carpenter-Ave-60304/home/13249245,['https://ssl.cdn-redfin.com/photo/68/mbphoto/092/genMid.08505092_6.jpg']
641 S MAPLE AVE UNIT N,641 S Maple Ave Unit N,12698338,41.8766936,-87.8042279,/IL/Oak-Park/641-S-Maple-Ave-60304/unit-N/home/12698338,['https://ssl.cdn-redfin.com/photo/68/mbphoto/741/genMid.10482741_0.jpg']
947 WESLEY AVE,947 Wesley Ave,12596555,41.870837,-87.7918211,/IL/Oak-Park/947-Wesley-Ave-60304/home/12596555,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=947+Wesley+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=af29C-7Ogml2ziXXImAhANpdnLQ=']
1138 LYMAN AVE,1138 Lyman Ave,13251621,41.8676547,-87.7764459,/IL/Oak-Park/1138-Lyman-Ave-60304/home/13251621,['https://ssl.cdn-redfin.com/photo/68/mbphoto/408/genMid.09000408_4.jpg']
515 S CARPENTER AV,515 Carpenter Ave,13249261,41.8791383,-87.7964869,/IL/Oak-Park/515-Carpenter-Ave-60304/home/13249261,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=515+Carpenter+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=lpXMSGDVTM0s3G7xK6zdp6UnJTs=']
720 CARPENTER AVE,720 Carpenter Ave,13249978,41.8760664,-87.7959241,/IL/Oak-Park/720-Carpenter-Ave-60304/home/13249978,['https://ssl.cdn-redfin.com/photo/68/mbphoto/106/genMid.08805106_3.jpg']
1106 S GUNDERSON,1106 Gunderson Ave,13248225,41.8686661,-87.7862287,/IL/Oak-Park/1106-Gunderson-Ave-60304/home/13248225,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1106+Gunderson+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=WKB05LWo6M2nwj7qRG7HuptQVg4=']
6810 W ROOSEVELT,6810 Roosevelt Rd,13248430,41.8653898,-87.7943548,/IL/Oak-Park/6810-Roosevelt-Rd-60304/home/13248430,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=6810+Roosevelt+Rd%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=RmK4P9aPJZKsQBYKkDLDVU6drrc=']
807 S LOMBARD,807 S Lombard Ave,26830631,41.8742091,-87.7796646,/IL/Oak-Park/807-S-Lombard-Ave-60304/home/26830631,['https://ssl.cdn-redfin.com/photo/68/mbphoto/508/genMid.10426508_1.jpg']
824 WISCONSIN AVE,824 Wisconsin Ave,13248934,41.87444,-87.8018313,/IL/Oak-Park/824-Wisconsin-Ave-60304/home/13248934,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=824+Wisconsin+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=16UQ0dlAXsb8Gj6cJ-OUH_wZ4I4=']
621 S MAPLE AV #104,621 S Maple Ave #104,13248975,41.8774234,-87.8040926,/IL/Oak-Park/621-S-Maple-Ave-60304/unit-104/home/13248975,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=621+S+Maple+Ave+%23104%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=gwAnlPDQA8bGV_egYeJArbGuZTg=']
938 S WISCONSIN AVE,938 Wisconsin Ave,13247869,41.8709343,-87.8016775,/IL/Oak-Park/938-Wisconsin-Ave-60304/home/13247869,['https://ssl.cdn-redfin.com/photo/68/mbphoto/171/genMid.07174171_5.jpg']
833 S LOMBARD,833 S Lombard Ave,13251317,41.8732759,-87.7796239,/IL/Oak-Park/833-S-Lombard-Ave-60304/home/13251317,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=833+S+Lombard+Ave%2C+Oak+Park%2C+IL+60304&size=665x441&source=outdoor&client=gme-redfin&signature=2CDAdUmd3ilWA4jNM-kx0JeUbPE=']
1135 CLARENCE AVE,1135 Clarence Ave,13248368,41.867564,-87.790436,/IL/Oak-Park/1135-Clarence-Ave-60304/home/13248368,['https://ssl.cdn-redfin.com/photo/68/mbphoto/085/genMid.11663085_0.jpg']
